problem,nb_of_threads,time
src/philosophers_with_sem_TS, 32, 20.04
src/philosophers_with_sem_TTS, 32, 16.57
src/producerconsummer, 32, 2.06
src/producerconsummer_with_sem_TS, 32, 246.32
src/producerconsummer_with_sem_TTS, 32, 1117.97
src/readerwriter, 32, 0.03
src/readerwriter_with_sem_TS, 32, 0.76
src/readerwriter_with_sem_TTS, 32, 1.54
src/test-and-set, 32, 5.53
src/test-and-test-and-set, 32, 5.32
