problem,nb_of_threads,time
src/test-and-test-and-set, 32, 4.92
src/philosophers, 32, 0.70
src/philosophers_with_sem_TS, 32, 20.03
src/philosophers_with_sem_TTS, 32, 17.17
src/producerconsummer, 32, 1.95
src/producerconsummer_with_sem_TS, 32, 5.28
src/producerconsummer_with_sem_TTS, 32, 1.72
src/readerwriter, 32, 0.04
src/readerwriter_with_sem_TS, 32, 0.71
src/readerwriter_with_sem_TTS, 32, 0.47
src/test-and-set, 32, 5.24
src/test-and-test-and-set, 32, 4.40
src/philosophers, 32, 0.58
src/philosophers_with_sem_TS, 32, 20.35
src/philosophers_with_sem_TTS, 32, 17.12
src/producerconsummer, 32, 1.94
src/producerconsummer_with_sem_TS, 32, 12.63
src/producerconsummer_with_sem_TTS, 32, 3.07
src/readerwriter, 32, 0.03
src/readerwriter_with_sem_TS, 32, 0.76
src/readerwriter_with_sem_TTS, 32, 1.38
src/test-and-set, 32, 4.78
src/test-and-test-and-set, 32, 4.10
src/philosophers, 32, 0.78
src/philosophers_with_sem_TS, 32, 21.75
src/philosophers_with_sem_TTS, 32, 14.76
src/producerconsummer, 32, 1.95
src/producerconsummer_with_sem_TS, 32, 7.25
src/producerconsummer_with_sem_TTS, 32, 1.25
src/readerwriter, 32, 0.03
src/readerwriter_with_sem_TS, 32, 0.64
src/readerwriter_with_sem_TTS, 32, 1.39
src/test-and-set, 32, 5.00
src/test-and-test-and-set, 32, 4.26
